Rank,#,Đề tài,Điểm,Tier,Tech Stack chính,Thời gian thực (tuần),Độ khó,Demo ấn tượng,Mới mẻ 2026,Tiềm năng thực tiễn
194,46,Antivirus truyền thống (signature-based),39,C,"Python, YARA",7-8,Trung bình,Thấp,Thấp,Trung bình
195,47,SQL Injection Scanner cơ bản,38,C,"Python, SQLMap",6-7,Thấp,Thấp,Thấp,Thấp
196,48,XSS Scanner đơn thuần,37,C,"Python, BeautifulSoup",6-7,Thấp,Thấp,Thấp,Thấp
197,49,Social Engineering Toolkit (SET) clone,36,C,"Python, SET",7-8,Trung bình,Thấp,Thấp,Thấp
198,50,Basic Network Monitoring (SNMP),35,C,"Python, SNMP",6-7,Thấp,Thấp,Thấp,Thấp
199,131,Quantum Random Number Generator (QRNG) Service,34,C,"ID Quantique, Python",9-10,Cao,Trung bình,Cao,Thấp
200,132,Secure Multi-Cloud Key Management,33,C,"HashiCorp Vault, cloud KMS APIs",10,Cao,Trung bình,Trung bình,Cao
201,133,Automated Malware Unpacking,32,C,"Python, Unicorn Engine",10,Cao,Trung bình,Trung bình,Trung bình
202,134,Voice-Activated Backdoor Detection,31,C,"Firmware analysis, signal processing",9-10,Trung bình,Trung bình,Trung bình,Thấp
203,135,Blockchain Oracle Security,30,C,"Chainlink, Town Crier, TLS-N",10,Cao,Trung bình,Trung bình,Trung bình
204,136,Secure Boot for Custom Hardware,29,C,"U-Boot, OP-TEE, eMMC",10,Cao,Trung bình,Trung bình,Trung bình
205,137,Automated Threat Hunting with Jupyter,28,C,"Python, Jupyter, KQL, Sigma",9-10,Trung bình,Trung bình,Trung bình,Cao
206,138,Car Infotainment System Pentest,27,C,"Android Auto, CarPlay, CAN bus",10,Cao,Trung bình,Trung bình,Trung bình
207,139,Secure AI Model Update (Federated),26,C,"Flower, PySyft, differential privacy",10,Cao,Trung bình,Cao,Trung bình
208,140,Hardware Wallet Security Analysis,25,C,"Side-channel, fault injection",10,Cao,Trung bình,Trung bình,Thấp
209,141,5G Network Slicing Security,24,C,"Open5GS, SDN, NFV",10,Cao,Trung bình,Cao,Trung bình
210,142,Automated Compliance Checker (SOC2/ISO27001),23,C,"Python, ScoutSuite, Prowler, Rego",9-10,Trung bình,Trung bình,Trung bình,Cao
211,143,Secure Video Conferencing (E2EE),22,C,"WebRTC, Insertable Streams, SFU",10,Cao,Trung bình,Trung bình,Trung bình
212,144,Industrial Robot Security Monitor,21,C,"ROS, Modbus, EtherCAT",10,Cao,Trung bình,Trung bình,Trung bình
213,145,Automated Phishing Domain Takedown,20,C,"Python, WHOIS, abuse APIs, Selenium",8-9,Trung bình,Trung bình,Trung bình,Trung bình
214,146,Secure Data Destruction Verification,19,C,"Python, forensics tools, magnetic microscopy",9-10,Cao,Trung bình,Trung bình,Thấp
215,147,AI Model Stealing Detection,18,C,"Python, watermarking, query monitoring",9-10,Cao,Trung bình,Cao,Trung bình
216,148,Satellite IoT Security (LoRa/nb-IoT),17,C,"LoRaWAN, nb-IoT, satellite simulator",10,Cao,Trung bình,Cao,Thấp
217,149,Automated Red Team Infrastructure,16,C,"Python, Terraform, Cobalt Strike, Cloudflare",10,Cao,Cao,Cao,Thấp
218,150,Neuromorphic Security Chip Design,15,C,"FPGA, Spiking Neural Network",10,Cao,Trung bình,Cực cao,Thấp
